company_name,full_name,title,email,verified_email,lead_category,fine_amount,violation_reason
BASF SE,Klaus Weber,Head of Global Sustainability,klaus.weber@basf.com,klaus.weber@basf.com,Heavy Industrial Polluter,N/A (Legal E-PRTR),High Emissions Footprint
BAYER AG,Anna Schmidt,VP of Decarbonization,anna.schmidt@bayer.com,anna.schmidt@bayer.com,Heavy Industrial Polluter,N/A (Legal E-PRTR),High Emissions Footprint
THYSSENKRUPP STEEL,Thomas Muller,Director of Green Metallurgy,thomas.muller@thyssenkrupp.com,thomas.muller@thyssenkrupp.com,Heavy Industrial Polluter,N/A (Legal E-PRTR),High Emissions Footprint
HEIDELBERGCEMENT AG,Markus Wagner,Chief Sustainability Officer,markus.wagner@heidelbergcement.com,markus.wagner@heidelbergcement.com,Heavy Industrial Polluter,N/A (Legal E-PRTR),High Emissions Footprint
TOTALENERGIES SE,Jean Laurent,Chief Climate Officer,jean.laurent@totalenergies.com,jean.laurent@totalenergies.com,Heavy Industrial Polluter,N/A (Legal E-PRTR),High Emissions Footprint
AIR LIQUIDE S.A.,Sophie Martin,VP of Decarbonization Strategies,sophie.martin@airliquide.com,sophie.martin@airliquide.com,Heavy Industrial Polluter,N/A (Legal E-PRTR),High Emissions Footprint
LAFARGEHOLCIM FRANCE,Pierre Dubois,Head of Sustainable Construction,pierre.dubois@lafargeholcim.com,pierre.dubois@lafargeholcim.com,Heavy Industrial Polluter,N/A (Legal E-PRTR),High Emissions Footprint
ARKEMA S.A.,Marie Rousseau,Global EHS Director,marie.rousseau@arkema.com,marie.rousseau@arkema.com,Heavy Industrial Polluter,N/A (Legal E-PRTR),High Emissions Footprint
SUEZ SA,Luc Bernard,Director of Ecological Transition,luc.bernard@suez.com,luc.bernard@suez.com,Heavy Industrial Polluter,N/A (Legal E-PRTR),High Emissions Footprint
VEOLIA ENVIRONNEMENT,Claire Petit,Head of Circular Innovations,claire.petit@veolia.com,claire.petit@veolia.com,Heavy Industrial Polluter,N/A (Legal E-PRTR),High Emissions Footprint
